ESTADOS,MUNICIPIOS,DIRTFL_PC,ROOM1_PC,WATER_PC,PLUMB_PC,ELECT_PC,PHONE_PC,ACCESO,POBLACION RURAL,POBREZA ALIMENTARIA 2000,POBREZA ALIMENTARIA 2002
Chiapas,Pantepec,0.8717,0.18652,0.6803600000000001,0.37163,0.53155,0.00093,126.4375,100.0,0.62,0.61
Chiapas,El Porvenir,0.6615800000000001,0.05391,0.31254,0.18811,0.78628,0.00601,225.32609,100.0,0.66,0.67
Chiapas,Ocotepec,0.8317200000000001,0.53165,0.52578,0.17820999999999998,0.5121100000000001,0.00305,67.51724,57.69604,0.69,0.68
Chiapas,Yajal?n,0.8895,0.09851,0.5325,0.13204000000000002,0.48543000000000003,0.0015300000000000001,94.10853,47.70773,0.66,0.64
Chiapas,Ocosingo,0.89094,0.05802,0.324,0.06113,0.32587,0.0017699999999999999,427.7767,68.94121,0.59,0.6
Chiapas,Ray?n,0.85459,0.18445999999999999,0.57948,0.24370999999999998,0.46696000000000004,0.0,63.64286,37.65648,0.63,0.61
Chiapas,Copainalá,0.7770699999999999,0.19012,0.63143,0.31406999999999996,0.52244,0.00238,111.9403,69.57198000000001,0.6,0.57
Chiapas,San Andr?s Duraznal,0.9435100000000001,0.034010000000000006,0.54513,0.09046,0.66933,0.0011300000000000001,135.66666999999998,100.0,0.59,0.56
Chiapas,Simojovel,0.93327,0.1774,0.46984,0.07123,0.47243999999999997,0.0009599999999999999,135.5567,75.16685,0.62,0.61
Chiapas,Coapilla,0.7643800000000001,0.2403,0.65781,0.33541,0.72636,0.0009699999999999999,143.20833000000002,63.904669999999996,0.6,0.57
Chiapas,Jitotol,0.80301,0.19908,0.62333,0.20731,0.55245,5.9999999999999995e-05,135.0,76.87366,0.65,0.63
Chiapas,Ocozocoautla de Espinosa,0.65776,0.14461,0.47894,0.30259,0.55009,0.00953,163.1498,52.3183,0.59,0.58
Chiapas,Bochil,0.8430200000000001,0.16769,0.5159100000000001,0.24006,0.67404,0.00101,104.53846,57.84701999999999,0.65,0.63
Chiapas,Solosuchiapa,0.47262,0.08317000000000001,0.64781,0.48746999999999996,0.65378,0.00031,145.5122,100.0,0.59,0.55
Chiapas,Acapetahua,0.481,0.2806,0.20295,0.47721,0.80056,0.030539999999999998,91.84091,67.44454,0.57,0.51
Chiapas,Tila,0.9302,0.13525,0.48618,0.24443,0.47328000000000003,0.00162,159.11538000000002,70.27496,0.67,0.67
Chiapas,Ixtacomitán,0.50053,0.07884,0.42863999999999997,0.39066999999999996,0.52984,0.00903,62.89744,54.817890000000006,0.62,0.6
Chiapas,Metapa,0.4517,0.19288,0.4249,0.59738,0.874,0.05744,21.5,100.0,0.54,0.46
Chiapas,Tuxtla Chico,0.42028999999999994,0.16588,0.24785,0.4956,0.81198,0.015080000000000001,26.26923,53.00744,0.57,0.5
Chiapas,Mazatán,0.52222,0.43476000000000004,0.10745999999999999,0.41297,0.78037,0.021490000000000002,31.73214,62.31986,0.57,0.52
Chiapas,Huehuetán,0.4934,0.25040999999999997,0.31054,0.32846,0.75603,0.01369,51.42029,61.133359999999996,0.6,0.55
Chiapas,Uni?n Juárez,0.36493000000000003,0.10778,0.79466,0.46453999999999995,0.64288,0.01085,79.6087,56.53796,0.61,0.52
Chiapas,Cacahoatán,0.47694,0.17467,0.66074,0.42575,0.66045,0.01252,77.40909,59.265240000000006,0.63,0.56
Chiapas,Tapachula,0.48862,0.2173,0.36019,0.46174,0.79087,0.01969,70.19572,27.89961,0.58,0.52
Chiapas,Tuzantán,0.4404,0.31931,0.46163999999999994,0.41712,0.72128,0.013619999999999998,102.33333,100.0,0.61,0.56
Chiapas,Huixtla,0.4973,0.20973000000000003,0.36783000000000005,0.43217,0.69686,0.00983,133.15941999999998,44.322959999999995,0.6,0.56
Chiapas,Villa Comaltitlán,0.50295,0.26027,0.41585,0.28404,0.69825,0.01009,74.28169,72.56047,0.62,0.56
Chiapas,Frontera Hidalgo,0.68642,0.19502,0.13785,0.3564,0.66797,0.00624,46.714290000000005,71.57644,0.59,0.56
Chiapas,Reforma,0.37045,0.13765,0.33537,0.6252,0.83906,0.0463,99.16667,34.05154,0.52,0.47
Chiapas,Catazajá,0.4422,0.14153,0.44942,0.51266,0.71229,0.02364,131.17143000000002,81.07454,0.53,0.5
Chiapas,Juárez,0.47392,0.11565,0.11540999999999998,0.55404,0.69409,0.014130000000000002,122.24444,68.38545,0.55,0.51
Chiapas,Palenque,0.58077,0.17620999999999998,0.492,0.30111,0.63362,0.015090000000000001,241.46715,65.15609,0.6,0.57
Chiapas,La Libertad,0.16601,0.05951,0.15074,0.65313,0.58919,0.018019999999999998,151.70833000000002,100.0,0.51,0.46
