PERIMETER,MUNIG_,MUNIG_ID,ADM1CODE,ADM2CODE,ADM1NAME,ADM2NAME,DIRTFL_PC,ROOM1_PC,WATER_PC,PLUMB_PC,ELECT_PC,PHONE_PC,MEANILIT15,MEANSELE15,MEANCELE15,MEANSSEC15,MEANCSEC15,ACCESO,RURPER,FGT_0RUR00,FGT_0RUR02,MEANY2000,MEANY2002,POPDENS,FOODEXP
2.59000,25.00000,1594.00000,26,027,Sonora,Fronteras,0.20674,0.05977,0.85170,0.73829,0.83128,0.07142,0.15115,0.75975,0.70860,0.24346,0.30825,41.53846,26.04794,0.30000,0.25,978.09,1032.34,2.93701,249.86999
2.64000,26.00000,1610.00000,26,035,Sonora,Imuris,0.16870,0.07569,0.69756,0.62858,0.70095,0.24642,0.14348,0.67056,0.66792,0.14287,0.31725,37.45833,42.26071,0.30000,0.27,997.85,1047.82,4.68953,245.61000
3.04500,27.00000,1606.00000,26,036,Sonora,Magdalena,0.12109,0.05181,0.51537,0.57961,0.86495,0.26825,0.11330,0.78795,0.61566,0.13584,0.37597,44.40741,9.91533,0.28000,0.23,1070.20,1123.41,19.61823,257.88000
1.78700,28.00000,1613.00000,26,046,Sonora,Oquitoa,0.02941,0.01961,0.95098,0.95098,0.99020,0.16667,0.04902,0.67647,0.93137,0.09804,0.45098,28.00000,100.00000,0.20000,0.18,1243.41,1282.61,0.43449,283.89999
0.97800,29.00000,1615.00000,26,007,Sonora,Atil,0.05085,0.02260,0.99435,0.88701,0.97175,0.30508,0.18079,0.58192,0.60452,0.24859,0.53672,81.00000,100.00000,0.22000,0.20,1218.79,1247.72,2.34834,275.75000
1.73400,30.00000,1604.00000,26,011,Sonora,Bacoachi,0.10071,0.09689,0.56619,0.62010,0.92010,0.12541,0.32877,0.89912,0.48171,0.27059,0.33864,129.00000,100.00000,0.29000,0.25,997.85,1035.30,1.19663,250.02000
7.09900,31.00000,1651.00000,26,047,Sonora,Pitiquito,0.42763,0.17629,0.42647,0.26270,0.67362,0.05110,0.46270,1.22918,0.42279,0.22474,0.20010,102.66667,15.41793,0.39000,0.37,717.38,699.84,0.93777,190.30999
2.58100,32.00000,1593.00000,26,015,Sonora,Bavispe,0.15072,0.05061,0.65443,0.58205,0.62074,0.05478,0.17496,0.85898,0.67196,0.07031,0.28321,289.71429,100.00000,0.33000,0.34,867.50,812.34,0.79937,219.63000
6.39300,33.00000,2266.00000,08,010,Chihuahua,Buenaventura,0.05722,0.08343,0.75133,0.59921,0.80204,0.12105,0.10825,0.79026,0.67389,0.17731,0.29949,160.22727,43.51316,0.25000,0.20,1171.00,1283.93,2.53251,227.36000
3.05200,34.00000,2262.00000,08,050,Chihuahua,Nuevo Casas Grandes,0.03155,0.01542,0.87171,0.42915,0.62850,0.11318,0.05522,0.44472,1.78392,0.12532,0.26220,115.17391,7.37636,0.30000,0.28,930.40,1003.34,20.56537,190.36999
3.15500,35.00000,1605.00000,26,006,Sonora,Arizpe,0.18639,0.02851,0.67094,0.71774,0.80617,0.02820,0.12913,0.93508,0.43089,0.14686,0.46804,188.46667,100.00000,0.29000,0.25,1018.02,1020.71,1.10740,253.02999
2.71400,36.00000,1609.00000,26,058,Sonora,Santa Ana,0.14598,0.05757,0.60619,0.51495,0.93533,0.21479,0.12348,0.86467,0.65774,0.19144,0.40682,39.33333,28.36759,0.29000,0.25,987.92,1030.13,9.08126,240.00000
2.67600,37.00000,1596.00000,26,041,Sonora,Nacozari de Garc?a,0.20850,0.02500,0.69202,0.63202,0.82465,0.23513,0.08126,0.63017,1.29378,0.61211,0.88639,216.12500,22.08145,0.19000,0.17,1243.41,1263.64,8.34684,292.19000
2.25100,38.00000,1607.00000,26,022,Sonora,Cucurpe,0.21164,0.05248,0.63822,0.47867,0.53877,0.05859,0.06535,0.89858,0.28751,0.03836,0.38430,167.46154,100.00000,0.30000,0.28,978.09,1004.75,0.59802,254.53999
4.06300,39.00000,2299.00000,08,013,Chihuahua,Casas Grandes,0.07788,0.06888,0.71774,0.31649,0.59029,0.05114,0.13721,1.00242,0.69385,0.07378,0.18567,209.65000,62.04518,0.30000,0.27,968.36,1079.90,2.67110,207.63000
3.05900,40.00000,1614.00000,26,064,Sonora,Trincheras,0.24856,0.10667,0.64927,0.47916,0.68874,0.13700,0.14313,0.74800,0.42180,0.09352,0.20630,153.64286,100.00000,0.28000,0.25,1059.56,1066.81,0.58091,268.85998
7.66000,41.00000,2235.00000,08,052,Chihuahua,Ojinaga,0.04967,0.04036,0.68012,0.53239,0.60011,0.02324,0.17074,0.94565,0.78630,0.15202,0.22133,135.88889,16.19287,0.27000,0.25,1080.96,1130.50,3.59738,206.38999
6.80500,42.00000,2238.00000,08,015,Chihuahua,Coyame del Sotol,0.03945,0.07449,0.90293,0.77329,0.92675,0.02871,0.19342,1.06072,0.59151,0.11179,0.27654,304.46154,100.00000,0.23000,0.20,1255.91,1273.33,0.14640,231.16999
2.08000,43.00000,1595.00000,26,067,Sonora,Villa Hidalgo,0.30370,0.15140,0.64851,0.58326,0.65082,0.08796,0.14403,0.84190,0.55110,0.16780,0.34300,217.33333,100.00000,0.29000,0.28,997.85,948.27,1.33729,250.77999
2.38100,44.00000,1597.00000,26,010,Sonora,Bacerac,0.30398,0.10177,0.64528,0.17381,0.48072,0.05317,0.12882,1.06712,0.90531,0.10005,0.27304,478.80000,100.00000,0.38000,0.40,717.38,645.65,1.00423,199.88999
2.71200,45.00000,1608.00000,26,016,Sonora,Benjam?n Hill,0.19348,0.14620,0.57880,0.44348,0.89511,0.17989,0.16087,0.50011,0.79272,0.19076,0.25815,42.60000,5.66992,0.30000,0.25,987.92,1031.09,4.07682,247.91999
1.97600,46.00000,2264.00000,08,023,Chihuahua,Galeana,0.08800,0.06842,0.52129,0.39034,0.55132,0.09191,0.08172,1.16263,0.55833,0.08298,0.28103,92.50000,100.00000,0.32000,0.28,902.90,1011.59,2.31071,190.83999
2.02600,47.00000,1620.00000,26,031,Sonora,Huachinera,0.13156,0.02707,0.72370,0.43746,0.75409,0.06430,0.20402,0.90289,0.77037,0.19728,0.31922,335.00000,100.00000,0.31000,0.31,930.40,885.02,0.95449,237.86000
2.55700,48.00000,1634.00000,26,023,Sonora,Cumpas,0.09016,0.03423,0.84260,0.75677,0.90993,0.12413,0.10933,0.78425,0.68365,0.11282,0.50083,35.07692,54.70816,0.25000,0.21,1091.82,1158.77,3.07090,264.50000
3.13900,49.00000,1642.00000,26,045,Sonora,Opodepe,0.26489,0.01366,0.63673,0.39133,0.49784,0.03304,0.08283,0.80045,0.51214,0.09743,0.31880,152.18182,100.00000,0.30000,0.30,958.72,964.36,1.26088,251.38000
1.91900,50.00000,1638.00000,26,013,Sonora,Banámichi,0.03395,0.00670,0.82608,0.88602,0.82663,0.11751,0.11870,0.64636,0.55276,0.24432,0.66200,223.00000,100.00000,0.25000,0.23,1136.39,1109.28,1.81525,259.60000
1.79700,51.00000,1621.00000,26,032,Sonora,Huásabas,0.05242,0.02016,0.98790,0.93952,0.97581,0.29032,0.11694,0.63710,0.68548,0.17742,0.44758,169.00000,100.00000,0.23000,0.20,1231.04,1218.69,1.19351,271.82000
2.88800,52.00000,2265.00000,08,034,Chihuahua,Ignacio Zaragoza,0.07895,0.05097,0.86886,0.34467,0.82991,0.05955,0.13421,0.97478,0.77169,0.08007,0.16246,105.25000,59.38458,0.28000,0.23,1018.02,1219.32,2.73182,225.39999
2.17200,53.00000,1619.00000,26,008,Sonora,Bacad?huachi,0.06725,0.03216,0.96491,0.83626,0.97076,0.31287,0.14912,0.97661,0.61404,0.17251,0.47368,286.00000,100.00000,0.25000,0.23,1159.34,1104.40,1.26644,258.67999
1.36000,54.00000,1635.00000,26,034,Sonora,Hu?pac,0.09214,0.04461,0.98970,0.80334,0.95062,0.15087,0.11394,0.97382,0.50210,0.18063,0.46809,197.20000,100.00000,0.24000,0.23,1136.39,1121.25,2.61341,263.51998
3.23800,55.00000,1643.00000,26,020,Sonora,Carb?,0.10584,0.18788,0.88463,0.77208,0.92273,0.25076,0.88366,1.62446,1.56472,0.21548,0.59870,82.28571,15.95104,0.21000,0.20,1171.00,1139.83,1.92584,261.10000
5.72900,56.00000,2272.00000,08,040,Chihuahua,Madera,0.44856,0.15663,0.49621,0.11879,0.50493,0.02540,0.35582,1.04840,0.64064,0.06414,0.15830,274.26562,33.94116,0.37000,0.34,769.40,840.09,3.89398,180.05000
2.61800,57.00000,1639.00000,26,038,Sonora,Moctezuma,0.09081,0.00641,0.92962,0.74549,0.96802,0.00000,0.10174,1.07612,0.61753,0.10884,0.31884,22.75000,9.29066,0.28000,0.25,1007.89,1072.07,2.22722,242.22000
2.90600,58.00000,1625.00000,26,040,Sonora,Nácori Chico,0.17025,0.02130,0.91860,0.45180,0.76025,0.06588,0.15335,1.00415,0.56327,0.16192,0.53691,495.20000,100.00000,0.31000,0.33,911.96,822.96,0.79282,224.72999
1.56700,59.00000,1641.00000,26,050,Sonora,Ray?n,0.27683,0.13888,0.69114,0.55542,0.76368,0.03836,0.28194,1.08915,0.38012,0.19020,0.24686,123.14286,100.00000,0.31000,0.28,939.75,930.65,1.82029,238.33000
0.55900,60.00000,1637.00000,26,053,Sonora,San Felipe de Jesús,0.20431,0.00431,0.68276,0.67414,0.79138,0.08190,0.24310,0.43707,0.35000,0.16034,0.34914,191.50000,100.00000,0.31000,0.28,987.92,956.67,2.81628,243.08999
